#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 03 45 999 99.0 99.0  0.58 10.53  8.73 343 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 04 15 999 99.0 99.0  0.60 11.76  9.03 343 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 04 45 999 99.0 99.0  0.64 11.76  9.46 344 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 05 15 999 99.0 99.0  0.65 11.76  9.47 346 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 05 45 999 99.0 99.0  0.65 11.11  9.27 343 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 06 15 999 99.0 99.0  0.67 11.76  9.59 343 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 06 45 999 99.0 99.0  0.61 11.11  9.27 343 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 07 15 999 99.0 99.0  0.59 11.11  9.47 343 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 07 45 999 99.0 99.0  0.56 16.67  9.59   3 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 08 45 999 99.0 99.0  0.58 16.67 10.03 352 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 09 15 999 99.0 99.0  0.62 15.38 10.67   3 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 09 45 999 99.0 99.0  0.69 15.38 11.47 359 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 10 15 999 99.0 99.0  0.72 15.38 11.65 354 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 10 45 999 99.0 99.0  0.61 15.38 10.81 350 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 11 15 999 99.0 99.0  0.60 15.38 10.45 350 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 11 45 999 99.0 99.0  0.57 15.38  9.91 357 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 05 12 15 999 99.0 99.0  0.56 15.38  8.53 352 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 12 45 999 99.0 99.0  0.63 14.29  9.37   3 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 13 15 999 99.0 99.0  0.50 14.29  7.34 359 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 13 45 999 99.0 99.0  0.58 15.38  6.59 359 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 14 15 999 99.0 99.0  0.55 15.38  6.33   3 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 14 45 999 99.0 99.0  0.52 14.29  7.29   6 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 15 15 999 99.0 99.0  0.48 11.76  6.61 344 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 15 45 999 99.0 99.0  0.53 16.67  7.22   3 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 16 45 999 99.0 99.0  0.57 14.29  5.07   6 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 17 15 999 99.0 99.0  0.59 15.38  5.05   0 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 05 17 45 999 99.0 99.0  0.47 15.38  5.15   0 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 18 15 999 99.0 99.0  0.54 15.38  6.87   4 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 18 45 999 99.0 99.0  0.49 14.29  6.84 357 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 19 15 999 99.0 99.0  0.45 14.29  7.47 359 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 19 45 999 99.0 99.0  0.49 14.29  8.25   6 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 20 15 999 99.0 99.0  0.48 14.29  8.07   3 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 20 45 999 99.0 99.0  0.43 14.29  6.38  15 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 21 15 999 99.0 99.0  0.46 15.38  7.11 359 9999.0 999.0  13.0 999.0 99.0 99.00
